0,1083.979375
1,1012.058447
2,1018.763223
3,1017.639195
4,1019.758221
5,1020.077388
6,1020.422664
7,1020.889819
8,1019.898851
9,1022.243164
10,1021.108327
11,1025.076263
12,1018.991910
13,1021.446473
14,1023.379282
15,1021.022218
16,1023.140754
17,1019.477974
18,1019.593974
19,1020.025619
20,1019.734002
21,1020.367115
22,1018.138719
23,1019.407925
24,1020.217667
25,1019.018420
26,1018.607445
27,1017.782654
28,1017.645805
29,1018.147090
30,1016.978633
31,1018.475866
32,1017.932622
33,1019.246008
34,1018.598474
35,1017.804723
36,1016.191681
37,1018.083521
38,1016.745715
39,1015.067414
40,1014.651709
41,1017.435468
42,1015.441110
43,1018.169529
44,1018.189879
45,1015.275061
46,1014.833326
47,1015.348091
48,1015.325121
49,1015.863905
50,1016.203071
51,1013.525041
52,1018.061281
53,1017.328909
54,1014.811506
55,1015.306981
56,1014.679018
57,1014.908776
58,1013.156455
59,1015.091534
60,1012.560402
61,1012.881209
62,1012.629401
63,1013.841307
64,1014.347842
65,1012.700330
66,1014.847486
67,1015.115014
68,1014.362212
69,1018.591544
70,1035.020382
71,1035.600904
72,1018.649495
73,1016.961023
74,1015.890817
75,1015.175710
76,1015.029444
77,1015.994154
78,1015.158133
79,1015.914405
80,1016.875323
81,1017.208400
82,1016.780234
83,1014.555360
84,1012.184456
85,1012.937507
86,1014.895916
87,1012.619271
88,1014.231903
89,1012.657320
90,1012.725180
91,1025.257820
92,1021.851708
93,1039.579570
94,1029.811160
95,1020.956159
96,1018.371738
97,1018.095190
98,1017.500007
99,1017.664345
100,1015.501639
101,1015.018735
102,1016.135412
103,1012.730510
104,1014.136555
105,1013.873507
106,1015.855335
107,1014.399342
108,1012.697270
109,1012.172206
110,1012.685581
111,1013.939576
112,1011.528513
113,1013.658870
114,1024.068363
115,1015.825266
116,1037.632063
117,1018.044880
118,1016.567698
119,1013.319454
120,1013.252634
121,1013.358273
122,1014.524980
123,1013.888807
124,1012.228025
125,1012.568472
126,1014.754668
127,1012.119847
128,1014.030045
129,1013.595781
130,1011.222287
131,1014.204323
132,1014.459631
133,1013.863967
134,1016.030113
135,1015.899835
136,1014.801206
137,1013.700949
138,1013.708949
139,1013.536781
140,1013.169055
141,1012.075397
142,1012.855428
143,1012.084018
144,1012.802479
145,1012.183676
146,1014.499110
147,1014.063265
148,1012.020358
149,1011.616683
150,1012.420533
151,1013.634830
152,1012.738420
153,1014.626879
154,1013.558651
155,1013.487182
156,1014.270383
157,1013.682330
158,1012.433223
159,1012.137906
160,1012.911738
161,1012.227826
162,1010.004620
163,1012.332015
164,1011.654152
165,1010.438555
166,1013.328764
167,1011.997268
168,1012.735440
169,1011.911909
170,1012.761799
171,1011.407825
172,1012.392384
173,1013.840768
174,1014.960695
175,1014.505860
176,1012.273876
177,1011.196127
178,1013.009547
179,1012.296525
180,1016.451319
181,1011.856500
182,1012.164607
183,1012.478763
184,1012.719121
185,1013.070697
186,1012.980217
187,1011.424185
188,1011.246207
189,1011.863980
190,1013.553240
191,1011.867259
192,1013.526201
193,1012.018698
194,1012.257915
195,1011.635162
196,1010.898340
197,1013.604931
198,1011.288227
199,1011.233137
200,1010.427055
201,1015.445650
202,1012.209856
203,1014.506130
204,1012.369485
205,1011.184097
206,1011.572343
207,1009.896702
208,1010.242918
209,1012.500213
210,1016.923334
211,1015.204233
212,1011.778261
213,1016.784755
214,1013.497022
215,1012.366194
216,1012.324215
217,1011.766110
218,1011.975579
219,1011.796191
220,1011.139558
221,1024.697066
222,1011.312366
223,1012.382464
224,1012.115157
225,1012.529443
226,1009.564805
227,1010.816931
228,1013.923436
229,1013.630020
230,1012.940497
231,1012.319065
232,1012.854679
233,1014.435311
234,1011.005579
235,1012.657800
236,1010.800812
237,1012.553702
238,1011.771530
239,1011.061519
240,1012.977258
241,1015.328481
242,1011.930449
243,1011.579373
244,1010.774812
245,1014.269042
246,1011.292176
247,1011.367566
248,1011.989499
249,1012.011298
250,1012.385884
251,1010.962530
252,1010.751051
253,1015.354810
254,1013.532652
255,1012.394764
256,1011.491944
257,1012.500092
