0,0.121856,0.006144,0.008192,0.333888,44.843647,3.131525,44.869810
1,0.012288,0.002432,0.006144,0.337920,8.900352,3.059536,8.910001
2,0.012288,0.003072,0.006144,0.337920,8.996000,3.157365,9.003950
3,0.012288,0.003072,0.006144,0.337920,9.091552,3.242214,9.099548
4,0.012288,0.002432,0.006144,0.337184,9.211968,3.358713,9.219957
5,0.012288,0.003072,0.006144,0.336896,9.305152,3.473311,9.313106
6,0.012288,0.002048,0.006144,0.337920,9.433312,3.579530,9.441195
7,0.012288,0.003072,0.006144,0.337920,9.525440,3.697819,9.533284
8,0.012608,0.003072,0.006144,0.337920,9.668224,3.820017,9.676462
9,0.012288,0.003072,0.006144,0.337920,9.792704,3.941746,9.800591
10,0.012288,0.003072,0.006144,0.337920,9.911904,4.062015,9.919879
11,0.012512,0.003360,0.005472,0.336896,10.045920,4.192693,10.054018
12,0.012288,0.003104,0.006144,0.338944,10.115424,4.275392,10.123397
13,0.012288,0.002048,0.006144,0.337920,10.217056,4.367341,10.225006
14,0.013312,0.003072,0.006144,0.337920,10.323712,4.475300,10.331715
15,0.012288,0.003072,0.006144,0.337920,10.366528,4.536159,10.374484
16,0.012288,0.003072,0.006208,0.337920,10.425664,4.575989,10.433824
17,0.012288,0.003168,0.006272,0.337920,10.373696,4.533089,10.382004
18,0.012352,0.003488,0.006144,0.337920,10.364352,4.507940,10.372504
19,0.012288,0.003072,0.006144,0.337920,10.329632,4.488350,10.337755
20,0.012288,0.003072,0.006144,0.337920,10.324576,4.480960,10.332655
21,0.012288,0.003072,0.006240,0.337920,10.294848,4.434310,10.303085
22,0.012288,0.003072,0.006144,0.336896,10.259104,4.404341,10.267616
23,0.012288,0.003072,0.006144,0.337920,10.180128,4.339112,10.188376
24,0.012288,0.003072,0.006144,0.337920,10.093280,4.248682,10.101107
25,0.012288,0.003264,0.006144,0.337952,10.041568,4.176134,10.049738
26,0.012288,0.003232,0.006144,0.337312,9.973984,4.126974,9.982349
27,0.012288,0.003072,0.006144,0.337920,9.883904,4.060404,9.892020
28,0.012288,0.003104,0.006208,0.337920,9.833952,3.976116,9.842130
29,0.012288,0.003072,0.006208,0.337920,9.792416,3.935016,9.800371
30,0.012288,0.003104,0.006144,0.337920,9.729888,3.891207,9.738151
31,0.012288,0.003072,0.006144,0.337920,9.692768,3.839237,9.700702
32,0.012704,0.003072,0.006144,0.336896,9.662560,3.796717,9.670802
33,0.013312,0.003072,0.006144,0.337184,9.638368,3.784688,9.646192
34,0.012288,0.003296,0.006400,0.336896,9.598816,3.723299,9.607073
35,0.012288,0.003072,0.006144,0.337920,9.548992,3.707719,9.556864
36,0.013312,0.003072,0.006144,0.337920,9.550784,3.691158,9.558943
37,0.012288,0.003136,0.006144,0.337920,9.484992,3.650389,9.492954
38,0.012320,0.003072,0.006272,0.337920,9.480032,3.644389,9.488044
39,0.012288,0.003072,0.006144,0.337920,9.487968,3.632710,9.495805
40,0.012480,0.003072,0.007168,0.337920,9.474880,3.614260,9.482784
41,0.012288,0.003392,0.005120,0.337920,9.468384,3.609929,9.476214
42,0.012416,0.003264,0.006144,0.338272,9.453600,3.612710,9.461975
43,0.012288,0.003264,0.006144,0.337920,9.443168,3.594940,9.451134
44,0.013312,0.003072,0.006144,0.338208,9.434240,3.587010,9.442555
45,0.013312,0.003072,0.006144,0.337920,9.431392,3.580710,9.439235
46,0.012480,0.003360,0.006144,0.336896,9.420192,3.579740,9.427975
47,0.012288,0.003072,0.006368,0.337920,9.435232,3.577551,9.443524
48,0.012288,0.003072,0.006144,0.337920,9.436160,3.584780,9.444175
49,0.012288,0.003072,0.006144,0.337312,9.401216,3.567150,9.409135
50,0.012288,0.003072,0.006144,0.337952,9.430880,3.580820,9.438935
51,0.012288,0.003104,0.006496,0.336896,9.417408,3.576700,9.425585
52,0.012288,0.003200,0.006304,0.337920,9.440736,3.607080,9.448674
53,0.012288,0.002400,0.006144,0.336896,9.498144,3.626720,9.505954
54,0.012288,0.003072,0.006432,0.336992,9.489856,3.648240,9.497725
55,0.012288,0.003072,0.006144,0.337920,9.570848,3.714089,9.578593
56,0.012288,0.003072,0.006144,0.337920,9.640608,3.784738,9.648552
57,0.012288,0.003072,0.006144,0.337920,9.680608,3.820477,9.688452
58,0.012288,0.003072,0.006144,0.337920,9.744064,3.881976,9.752071
59,0.012288,0.003072,0.006304,0.337920,9.809504,3.962886,9.817631
60,0.012288,0.003072,0.006144,0.337920,9.888192,4.038095,9.896139
61,0.012704,0.003072,0.006144,0.337920,9.963872,4.105194,9.971959
62,0.013312,0.003072,0.006144,0.337920,10.040736,4.178783,10.048768
63,0.012288,0.003264,0.006400,0.337920,10.070528,4.242242,10.078208
64,0.012736,0.003072,0.006144,0.337920,10.128320,4.304092,10.136237
65,0.012288,0.003072,0.006144,0.337920,10.189856,4.334512,10.197686
66,0.012288,0.003072,0.006208,0.337920,10.185344,4.364341,10.193346
67,0.012288,0.003072,0.006144,0.337920,10.272416,4.428641,10.280256
